ID1,poiid,Field2,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,user_created_time,category1,category2,created_time,Day,Month,Year,Date,Time
8935,B2094652DB64A7F8469D,,3.64289E+15,@?4?? ??????????????????????[??][??][??][??] ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Sun Nov 10 00:52:58 +0800 2013,Sun,Nov,2013,10,00:52:58
8936,B2094652DB64A7F8469D,,3.64288E+15,????????????4:0?? ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Sun Nov 10 00:13:04 +0800 2013,Sun,Nov,2013,10,00:13:04
8937,B2094652DB64A7F8469D,,3.64216E+15,????????????[??][??] ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Fri Nov 08 00:22:05 +0800 2013,Fri,Nov,2013,8,00:22:05
8938,B2094652DB64A7F8469D,,3.64156E+15,????????????????[??][??] ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Wed Nov 06 08:40:25 +0800 2013,Wed,Nov,2013,6,08:40:25
8939,B2094652DB64A7F8469D,,3.64154E+15,?????…… ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Wed Nov 06 07:16:51 +0800 2013,Wed,Nov,2013,6,07:16:51
8940,B2094652DB64A7F8469D,,3.6411E+15,????????????????????[??][??] ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Tue Nov 05 02:21:05 +0800 2013,Tue,Nov,2013,5,02:21:05
8941,B2094652DB64A7F8469D,,3.64071E+15,????????[?][?] ????:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.54439,114.01144,22.54439,114.01144,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Mon Nov 04 00:44:00 +0800 2013,Mon,Nov,2013,4,00:44:00
33211,B2094652DB69A6FF4298,,3.64227E+15,??????????? ????:http://t.cn/z8Ao27y,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.53937,113.95574,22.53937,113.95574,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Fri Nov 08 07:51:58 +0800 2013,Fri,Nov,2013,8,07:51:58
33212,B2094652DB69A6FF4298,,3.64195E+15,??????????????[?][?][?] ????:http://t.cn/z8Ao27y,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.53937,113.95574,22.53937,113.95574,Mon Jul 19 10:56:18 +0800 2010,Buildings,Others,Thu Nov 07 10:59:31 +0800 2013,Thu,Nov,2013,7,10:59:31
150294,B2094757D064A5FB489C,,3.64117E+15,?????????????[??][??] ????:http://t.cn/z8AbZTY,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,?? ??,22.536773,114.022545,22.536773,114.022545,Mon Jul 19 10:56:18 +0800 2010,Hostelsá,Travel,Tue Nov 05 07:13:58 +0800 2013,Tue,Nov,2013,5,07:13:58
